Day,Close,volume
2019/3/11,3729.95,230912865
2019/3/12,3755.35,274926382
2019/3/13,3724.19,233682248
2019/3/14,3698.49,190817237
2019/3/15,3745,175174544
2019/3/18,3851.75,216928060
2019/3/19,3833.96,181727110
2019/3/20,3835.44,175632090
2019/3/21,3836.89,196310310
2019/3/22,3833.8,171356993
2019/3/25,3742.83,198586329
2019/3/26,3700.44,173046579
2019/3/27,3743.39,138758454
2019/3/28,3728.4,133272129
2019/3/29,3872.34,215639103
2019/4/1,3973.93,271382704
2019/4/2,3971.29,226000341
2019/4/3,4022.16,231917368
2019/4/4,4062.23,260410939
2019/4/8,4057.23,267505576
2019/4/9,4075.43,182956808
2019/4/10,4085.85,194687613
2019/4/11,3997.58,169049641
2019/4/12,3988.62,135862118
2019/4/15,3975.52,182645571
2019/4/16,4085.79,202041966
2019/4/17,4087.24,180367117
2019/4/18,4072.08,146562123
2019/4/19,4120.61,150794910
2019/4/22,4025.61,189353745
2019/4/23,4019.01,155611650
2019/4/24,4030.09,145498695
2019/4/25,3941.82,159722071
2019/4/26,3889.27,142008068
2019/4/29,3900.33,153870927
2019/4/30,3913.21,116233376
2019/5/6,3684.62,197472882
2019/5/7,3720.67,132847654
2019/5/8,3667.46,112867355
2019/5/9,3599.7,101037394
2019/5/10,3730.45,148003847
2019/5/13,3668.73,103391860
2019/5/14,3645.15,102313460
2019/5/15,3727.09,110161769
2019/5/16,3743.96,116258274
2019/5/17,3648.76,128453245
2019/5/20,3617.79,108963477
2019/5/21,3666.78,111022920
2019/5/22,3649.38,98346128
2019/5/23,3583.96,99897781
2019/5/24,3593.91,80934048
2019/5/27,3637.2,108830871
2019/5/28,3672.26,117886240
2019/5/29,3663.91,93355441
2019/5/30,3641.18,94202561
2019/5/31,3629.79,89222267
2019/6/3,3632.01,100723180
2019/6/4,3598.47,87097094
2019/6/5,3597.1,88642020
2019/6/6,3564.68,85534403
2019/6/10,3610.74,92375061
2019/6/11,3719.28,143482806
2019/6/12,3691.1,119178853
2019/6/13,3685.39,96331718
2019/6/14,3654.88,101817004
2019/6/17,3654.82,72976678
2019/6/18,3667.62,70692266
2019/6/19,3715.94,125595715
2019/6/20,3828.52,168872073
2019/6/21,3833.94,153635155
2019/6/24,3841.27,100084621
2019/6/25,3801.31,124075912
2019/6/26,3794.33,81820283
2019/6/27,3834.82,105316358
2019/6/28,3825.59,84766139
2019/7/1,3935.81,158370340
2019/7/2,3937.17,131863496
2019/7/3,3893.53,111992603
2019/7/4,3873.1,99342256
2019/7/5,3893.2,74006527
2019/7/8,3802.79,109539086
2019/7/9,3793.13,74842732
2019/7/10,3786.74,72833948
2019/7/11,3785.22,75311965
2019/7/12,3808.73,75465967
2019/7/15,3824.19,101205222
2019/7/16,3806.84,80730952
2019/7/17,3804.64,95183885
2019/7/18,3768.4,87496445
2019/7/19,3807.96,88086149
2019/7/22,3781.68,92101377
2019/7/23,3789.91,71313346
2019/7/24,3819.83,90940684
2019/7/25,3851.07,93740417
2019/7/26,3858.57,83259300
2019/7/29,3854.27,84814370
2019/7/30,3870.32,94123955
2019/7/31,3835.36,82151155
2019/8/1,3803.47,84114180
2019/8/2,3747.44,108335897
2019/8/5,3675.69,101325981
2019/8/6,3636.33,129833871
2019/8/7,3621.43,84238716
2019/8/8,3669.29,88457707
2019/8/9,3633.53,85295580
2019/8/12,3699.1,82083056
2019/8/13,3665.75,76500302
2019/8/14,3682.4,91202590
2019/8/15,3694,88598832
2019/8/16,3710.54,88319169
2019/8/19,3791.09,139327013
2019/8/20,3787.73,108602088
2019/8/21,3781.76,82299880
2019/8/22,3793.51,85807792
2019/8/23,3820.86,87954583
2019/8/26,3765.91,93859269
2019/8/27,3816.95,124731478
2019/8/28,3802.58,88750812
2019/8/29,3790.19,84083387
2019/8/30,3799.59,96695150
2019/9/2,3848.32,110289349
2019/9/3,3853.61,97714631
2019/9/4,3886,126628615
2019/9/5,3925.32,181656231
2019/9/6,3948.51,121882376
2019/9/9,3972.95,146809754
2019/9/10,3959.26,130889386
2019/9/11,3930.1,131594875
2019/9/12,3972.38,110241273
2019/9/16,3957.72,110259805
2019/9/17,3891.22,113694317
2019/9/18,3910.08,82056152
2019/9/19,3924.38,85984238
2019/9/20,3935.65,103455955
2019/9/23,3890.66,94036225
2019/9/24,3901.08,87783230
2019/9/25,3870.98,89520835
2019/9/26,3841.14,102698301
2019/9/27,3852.65,74003947
2019/9/30,3814.53,65931313
2019/10/8,3837.68,76657860
2019/10/9,3843.24,75854512
2019/10/10,3874.64,79222694
2019/10/11,3911.73,93412577
2019/10/14,3953.24,122393611
2019/10/15,3936.25,85273949
2019/10/16,3922.69,83229707
2019/10/17,3925.22,64863745
2019/10/18,3869.38,82321140
2019/10/21,3880.84,74182918
2019/10/22,3895.88,68918566
2019/10/23,3871.08,70198625
2019/10/24,3870.67,71334575
2019/10/25,3896.79,77453620
2019/10/28,3926.58,97406020
2019/10/29,3910.23,82257075
2019/10/30,3891.23,77872923
2019/10/31,3886.75,86714539
2019/11/1,3952.39,100689612
2019/11/4,3978.12,104193855
2019/11/5,4002.81,112911880
2019/11/6,3984.88,97312952
2019/11/7,3991.88,87254898
2019/11/8,3973.01,97106948
2019/11/11,3902.98,94155621
2019/11/12,3903.69,76543069
2019/11/13,3899.98,76749078
2019/11/14,3905.86,87008446
2019/11/15,3877.09,83730917
2019/11/18,3907.93,76645993
2019/11/19,3947.04,82161025
2019/11/20,3907.86,76815333
2019/11/21,3889.6,69130538
2019/11/22,3849.99,91042639
2019/11/25,3878.21,106066289
2019/11/26,3891.65,111513537
2019/11/27,3875.62,76437305
2019/11/28,3862.3,65230119
2019/11/29,3828.67,74144331
