Year,Season,Month,Day,Day_Num,Volume,Close,C1,C2,G,NX(yi mei yuan),ISM,GDP Season,new_cases,new_deaths,GDP_per_day
2019,1,3,2019/3/29,43553,300620000,25928.67969,13.15836063,-6.425768901,1388.75,-519.1,54.2,1.89E+13,0,0,3.24E+11
2019,2,4,2019/4/1,43556,295570000,26258.41992,12.99535723,-5.397148434,1410.626,-519.8,55.3,1.90E+13,0,0,3.06E+11
2019,2,4,2019/4/2,43557,250940000,26179.13086,12.30240292,-5.38232748,1410.626,-519.8,55.3,1.90E+13,0,0,2.99E+11
2019,2,4,2019/4/3,43558,271980000,26218.13086,12.34521028,-5.17660641,1410.626,-519.8,55.3,1.90E+13,0,0,3.01E+11
2019,2,4,2019/4/4,43559,233040000,26384.63086,12.82030647,-5.046165016,1410.626,-519.8,55.3,1.90E+13,0,0,2.98E+11
2019,2,4,2019/4/5,43560,229550000,26424.99023,13.49973909,-4.960931166,1410.626,-519.8,55.3,1.90E+13,0,0,3.09E+11
2019,2,4,2019/4/8,43563,229380000,26341.01953,14.6907524,-5.024761622,1410.626,-519.8,55.3,1.90E+13,0,0,3.08E+11
2019,2,4,2019/4/9,43564,244410000,26150.58008,14.23326342,-5.250810694,1410.626,-519.8,55.3,1.90E+13,0,0,3.10E+11
2019,2,4,2019/4/10,43565,203130000,26157.16016,14.78968563,-5.006151272,1410.626,-519.8,55.3,1.90E+13,0,0,3.04E+11
2019,2,4,2019/4/11,43566,211680000,26143.05078,15.51363329,-4.620006508,1410.626,-519.8,55.3,1.90E+13,0,0,3.10E+11
2019,2,4,2019/4/12,43567,369910000,26412.30078,16.45226785,-4.717780767,1410.626,-519.8,55.3,1.90E+13,0,0,3.05E+11
2019,2,4,2019/4/15,43570,250620000,26384.76953,18.0692551,-5.231786031,1410.626,-519.8,55.3,1.90E+13,0,0,2.99E+11
2019,2,4,2019/4/16,43571,302340000,26452.66016,18.25608307,-4.535123016,1410.626,-519.8,55.3,1.90E+13,0,0,3.06E+11
2019,2,4,2019/4/17,43572,367780000,26449.53906,20.10983298,-6.658182483,1410.626,-519.8,55.3,1.90E+13,0,0,3.13E+11
2019,2,4,2019/4/18,43573,332850000,26559.53906,20.29260068,-6.736520006,1410.626,-519.8,55.3,1.90E+13,0,0,3.07E+11
2019,2,4,2019/4/22,43577,232570000,26511.05078,19.42808183,-6.584765147,1410.626,-519.8,55.3,1.90E+13,0,0,3.01E+11
2019,2,4,2019/4/23,43578,311690000,26656.39063,18.66463223,-7.062598082,1410.626,-519.8,55.3,1.90E+13,0,0,3.08E+11
2019,2,4,2019/4/24,43579,283370000,26597.05078,19.17980537,-6.814413399,1410.626,-519.8,55.3,1.90E+13,0,0,3.00E+11
2019,2,4,2019/4/25,43580,296730000,26462.08008,18.5857405,-6.440456339,1410.626,-519.8,55.3,1.90E+13,0,0,3.01E+11
2019,2,4,2019/4/26,43581,317290000,26543.33008,18.84582137,-6.969359034,1410.626,-519.8,55.3,1.90E+13,0,0,3.07E+11
2019,2,4,2019/4/29,43584,279450000,26554.39063,18.39877035,-7.17657729,1410.626,-519.8,55.3,1.90E+13,0,0,3.06E+11
2019,2,4,2019/4/30,43585,340320000,26592.91016,20.88839159,-7.642806266,1410.626,-519.8,55.3,1.90E+13,0,0,3.13E+11
2019,2,5,2019/5/1,43586,303850000,26430.14063,18.12938736,-12.06334834,1410.626,-558.5,52.8,1.90E+13,0,0,3.07E+11
2019,2,5,2019/5/2,43587,287610000,26307.78906,18.14335024,-11.84378172,1410.626,-558.5,52.8,1.90E+13,0,0,2.98E+11
2019,2,5,2019/5/3,43588,248900000,26504.94922,19.46987316,-12.1064937,1410.626,-558.5,52.8,1.90E+13,0,0,3.08E+11
2019,2,5,2019/5/6,43591,283020000,26438.48047,19.30393198,-11.80037135,1410.626,-558.5,52.8,1.90E+13,0,0,3.11E+11
2019,2,5,2019/5/7,43592,334960000,25965.08984,17.35144553,-11.36090252,1410.626,-558.5,52.8,1.90E+13,0,0,3.00E+11
2019,2,5,2019/5/8,43593,276420000,25967.33008,16.87855472,-11.52103691,1410.626,-558.5,52.8,1.90E+13,0,0,2.95E+11
2019,2,5,2019/5/9,43594,334760000,25828.35938,15.85504706,-11.59335635,1410.626,-558.5,52.8,1.90E+13,0,0,2.91E+11
2019,2,5,2019/5/10,43595,294580000,25942.36914,19.40335336,-12.15171662,1410.626,-558.5,52.8,1.90E+13,0,0,3.04E+11
2019,2,5,2019/5/13,43598,361240000,25324.99023,17.69897788,-12.12681005,1410.626,-558.5,52.8,1.90E+13,0,0,3.01E+11
2019,2,5,2019/5/14,43599,291570000,25532.05078,17.86125598,-12.35162826,1410.626,-558.5,52.8,1.90E+13,0,0,2.99E+11
2019,2,5,2019/5/15,43600,270720000,25648.01953,19.09184215,-13.39127668,1410.626,-558.5,52.8,1.90E+13,0,0,3.02E+11
2019,2,5,2019/5/16,43601,320960000,25862.67969,21.30443632,-13.57727281,1410.626,-558.5,52.8,1.90E+13,0,0,2.98E+11
2019,2,5,2019/5/17,43602,283760000,25764,20.68671029,-13.69518423,1410.626,-558.5,52.8,1.90E+13,0,0,3.06E+11
2019,2,5,2019/5/20,43605,279560000,25679.90039,20.80750676,-13.242973,1410.626,-558.5,52.8,1.90E+13,0,0,3.05E+11
2019,2,5,2019/5/21,43606,260870000,25877.33008,19.55997102,-12.86935403,1410.626,-558.5,52.8,1.90E+13,0,0,2.91E+11
2019,2,5,2019/5/22,43607,241760000,25776.60938,21.06905629,-13.37769373,1410.626,-558.5,52.8,1.90E+13,0,0,2.93E+11
2019,2,5,2019/5/23,43608,316940000,25490.4707,20.81758598,-13.45807931,1410.626,-558.5,52.8,1.90E+13,0,0,2.98E+11
2019,2,5,2019/5/24,43609,201370000,25585.68945,21.10251907,-13.02656459,1410.626,-558.5,52.8,1.90E+13,0,0,3.01E+11
2019,2,5,2019/5/28,43613,358980000,25347.76953,18.81115963,-12.18459642,1410.626,-558.5,52.8,1.90E+13,0,0,2.98E+11
2019,2,5,2019/5/29,43614,298930000,25126.41016,18.63347851,-12.36307378,1410.626,-558.5,52.8,1.90E+13,0,0,2.94E+11
2019,2,5,2019/5/30,43615,215240000,25169.88086,19.58409939,-12.67627317,1410.626,-558.5,52.8,1.90E+13,0,0,2.91E+11
2019,2,5,2019/5/31,43616,292230000,24815.03906,17.42944348,-12.60848961,1410.626,-558.5,52.8,1.90E+13,0,0,2.82E+11
2019,2,6,2019/6/3,43619,328240000,24819.7793,19.22376302,-9.44238373,1410.626,-555.1,52.1,1.90E+13,0,0,2.85E+11
2019,2,6,2019/6/4,43620,281690000,25332.17969,20.17135725,-9.337387021,1410.626,-555.1,52.1,1.90E+13,0,0,2.98E+11
2019,2,6,2019/6/5,43621,262660000,25539.57031,23.68364067,-10.14388202,1410.626,-555.1,52.1,1.90E+13,0,0,2.98E+11
2019,2,6,2019/6/6,43622,248070000,25720.66016,24.84338452,-10.41524304,1410.626,-555.1,52.1,1.90E+13,0,0,2.93E+11
2019,2,6,2019/6/7,43623,263010000,25983.93945,26.92901774,-10.86772186,1410.626,-555.1,52.1,1.90E+13,0,0,2.92E+11
2019,2,6,2019/6/10,43626,249280000,26062.67969,27.93748448,-10.60677805,1410.626,-555.1,52.1,1.90E+13,0,0,3.04E+11
2019,2,6,2019/6/11,43627,253490000,26048.50977,28.42344488,-10.31171352,1410.626,-555.1,52.1,1.90E+13,0,0,2.95E+11
2019,2,6,2019/6/12,43628,223690000,26004.83008,29.201482,-10.18439053,1410.626,-555.1,52.1,1.90E+13,0,0,3.02E+11
2019,2,6,2019/6/13,43629,213400000,26106.76953,29.63848983,-9.944988713,1410.626,-555.1,52.1,1.90E+13,0,0,2.97E+11
2019,2,6,2019/6/14,43630,208020000,26089.60938,30.01803425,-9.806250403,1410.626,-555.1,52.1,1.90E+13,0,0,2.98E+11
2019,2,6,2019/6/17,43633,199500000,26112.5293,29.82266981,-9.583803404,1410.626,-555.1,52.1,1.90E+13,0,0,3.07E+11
2019,2,6,2019/6/18,43634,273490000,26465.53906,29.14908062,-9.271493098,1410.626,-555.1,52.1,1.90E+13,0,0,3.08E+11
2019,2,6,2019/6/19,43635,240950000,26504,29.98423017,-9.729708506,1410.626,-555.1,52.1,1.90E+13,0,0,3.13E+11
2019,2,6,2019/6/20,43636,278170000,26753.16992,31.83083598,-10.27470775,1410.626,-555.1,52.1,1.90E+13,0,0,3.17E+11
2019,2,6,2019/6/21,43637,485560000,26719.13086,31.98083318,-10.01654787,1410.626,-555.1,52.1,1.90E+13,0,0,3.13E+11
2019,2,6,2019/6/24,43640,232390000,26727.53906,32.81177184,-10.13313956,1410.626,-555.1,52.1,1.90E+13,0,0,3.13E+11
2019,2,6,2019/6/25,43641,282160000,26548.2207,31.95264338,-10.0672396,1410.626,-555.1,52.1,1.90E+13,0,0,3.00E+11
2019,2,6,2019/6/26,43642,274340000,26536.82031,29.73484426,-9.412196945,1410.626,-555.1,52.1,1.90E+13,0,0,3.01E+11
2019,2,6,2019/6/27,43643,246930000,26526.58008,29.44621565,-9.129475501,1410.626,-555.1,52.1,1.90E+13,0,0,3.10E+11
2019,2,6,2019/6/28,43644,499350000,26599.96094,29.38036579,-8.7640137,1410.626,-555.1,52.1,1.90E+13,0,0,3.00E+11
2019,3,7,2019/7/1,43647,267670000,26717.42969,30.31890959,-9.478520815,1429.281,-527.1,51.7,1.91E+13,0,0,2.94E+11
2019,3,7,2019/7/2,43648,219270000,26786.67969,31.82971575,-9.602112576,1429.281,-527.1,51.7,1.91E+13,0,0,3.07E+11
